Origin	Destination	isMembers	menuOption menuTarget objectID	Varbits	Display info	Duration
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=1;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=2;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=3;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=4;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=5;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=6;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=7;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=8;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=10;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=11;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=13;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=14;2187=1	RIMMINGTON -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=1;2187=2	TAVERLY -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=2;2187=2	TAVERLY -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=3;2187=2	TAVERLY -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=4;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=5;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=6;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=7;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=8;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=10;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=11;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=13;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=14;2187=2	TAVERLY -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=1;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=2;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=3;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=4;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1922 5707 2	Y	Home;Portal;15479	2188=5;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1922 5707 2	Y	Home;Portal;15479	2188=6;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1922 5707 2	Y	Home;Portal;15479	2188=7;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1922 5707 2	Y	Home;Portal;15479	2188=8;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1986 5707 0	Y	Home;Portal;15479	2188=10;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1986 5707 0	Y	Home;Portal;15479	2188=11;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1986 5707 0	Y	Home;Portal;15479	2188=13;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1986 5707 0	Y	Home;Portal;15479	2188=14;2187=3	POLIVNEACH -> PoH	1
2670 3632 0	1858 5707 0	Y	Home;Portal;15480	2188=1;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1858 5707 0	Y	Home;Portal;15480	2188=2;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1858 5707 0	Y	Home;Portal;15480	2188=3;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1858 5707 0	Y	Home;Portal;15480	2188=4;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1922 5707 2	Y	Home;Portal;15480	2188=5;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1922 5707 2	Y	Home;Portal;15480	2188=6;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1922 5707 2	Y	Home;Portal;15480	2188=7;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1922 5707 2	Y	Home;Portal;15480	2188=8;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1986 5707 0	Y	Home;Portal;15480	2188=10;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1986 5707 0	Y	Home;Portal;15480	2188=11;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1986 5707 0	Y	Home;Portal;15480	2188=13;2187=4	RELLEKKA -> PoH	1
2670 3632 0	1986 5707 0	Y	Home;Portal;15480	2188=14;2187=4	RELLEKKA -> PoH	1
2758 3178 0	1858 5707 0	Y	Home;Portal;15481	2188=1;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1858 5707 0	Y	Home;Portal;15481	2188=2;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1858 5707 0	Y	Home;Portal;15481	2188=3;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1858 5707 0	Y	Home;Portal;15481	2188=4;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1922 5707 2	Y	Home;Portal;15481	2188=5;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1922 5707 2	Y	Home;Portal;15481	2188=6;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1922 5707 2	Y	Home;Portal;15481	2188=7;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1922 5707 2	Y	Home;Portal;15481	2188=8;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1986 5707 0	Y	Home;Portal;15481	2188=10;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1986 5707 0	Y	Home;Portal;15481	2188=11;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1986 5707 0	Y	Home;Portal;15481	2188=13;2187=5	BRIMHAVEN -> PoH	1
2758 3178 0	1986 5707 0	Y	Home;Portal;15481	2188=14;2187=5	BRIMHAVEN -> PoH	1
2544 3095 0	1858 5707 0	Y	Home;Portal;15482	2188=1;2187=6	YANILLE -> PoH	1
2544 3095 0	1858 5707 0	Y	Home;Portal;15482	2188=2;2187=6	YANILLE -> PoH	1
2544 3095 0	1858 5707 0	Y	Home;Portal;15482	2188=3;2187=6	YANILLE -> PoH	1
2544 3095 0	1858 5707 0	Y	Home;Portal;15482	2188=4;2187=6	YANILLE -> PoH	1
2544 3095 0	1922 5707 2	Y	Home;Portal;15482	2188=5;2187=6	YANILLE -> PoH	1
2544 3095 0	1922 5707 2	Y	Home;Portal;15482	2188=6;2187=6	YANILLE -> PoH	1
2544 3095 0	1922 5707 2	Y	Home;Portal;15482	2188=7;2187=6	YANILLE -> PoH	1
2544 3095 0	1922 5707 2	Y	Home;Portal;15482	2188=8;2187=6	YANILLE -> PoH	1
2544 3095 0	1986 5707 0	Y	Home;Portal;15482	2188=10;2187=6	YANILLE -> PoH	1
2544 3095 0	1986 5707 0	Y	Home;Portal;15482	2188=11;2187=6	YANILLE -> PoH	1
2544 3095 0	1986 5707 0	Y	Home;Portal;15482	2188=13;2187=6	YANILLE -> PoH	1
2544 3095 0	1986 5707 0	Y	Home;Portal;15482	2188=14;2187=6	YANILLE -> PoH	1
1744 3517 0	1858 5707 0	Y	Home;Portal;28822	2188=1;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1858 5707 0	Y	Home;Portal;28822	2188=2;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1858 5707 0	Y	Home;Portal;28822	2188=3;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1858 5707 0	Y	Home;Portal;28822	2188=4;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1922 5707 2	Y	Home;Portal;28822	2188=5;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1922 5707 2	Y	Home;Portal;28822	2188=6;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1922 5707 2	Y	Home;Portal;28822	2188=7;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1922 5707 2	Y	Home;Portal;28822	2188=8;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1986 5707 0	Y	Home;Portal;28822	2188=10;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1986 5707 0	Y	Home;Portal;28822	2188=11;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1986 5707 0	Y	Home;Portal;28822	2188=13;2187=8	HOSIDIUS -> PoH	1
1744 3517 0	1986 5707 0	Y	Home;Portal;28822	2188=14;2187=8	HOSIDIUS -> PoH	1
3239 6076 0	1858 5707 0	Y	Home;Portal;34947	2188=1;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1858 5707 0	Y	Home;Portal;34947	2188=2;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1858 5707 0	Y	Home;Portal;34947	2188=3;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1858 5707 0	Y	Home;Portal;34947	2188=4;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1922 5707 2	Y	Home;Portal;34947	2188=5;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1922 5707 2	Y	Home;Portal;34947	2188=6;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1922 5707 2	Y	Home;Portal;34947	2188=7;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1922 5707 2	Y	Home;Portal;34947	2188=8;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1986 5707 0	Y	Home;Portal;34947	2188=10;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1986 5707 0	Y	Home;Portal;34947	2188=11;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1986 5707 0	Y	Home;Portal;34947	2188=13;2187=9	PRIFDDINAS -> PoH	1
3239 6076 0	1986 5707 0	Y	Home;Portal;34947	2188=14;2187=9	PRIFDDINAS -> PoH	1
1422 2966 0	1858 5707 0	Y	Home;Portal;55353	2188=1;2187=13	ALDARIN -> PoH	1
1422 2966 0	1858 5707 0	Y	Home;Portal;55353	2188=2;2187=13	ALDARIN -> PoH	1
1422 2966 0	1858 5707 0	Y	Home;Portal;55353	2188=3;2187=13	ALDARIN -> PoH	1
1422 2966 0	1858 5707 0	Y	Home;Portal;55353	2188=4;2187=13	ALDARIN -> PoH	1
1422 2966 0	1922 5707 2	Y	Home;Portal;55353	2188=5;2187=13	ALDARIN -> PoH	1
1422 2966 0	1922 5707 2	Y	Home;Portal;55353	2188=6;2187=13	ALDARIN -> PoH	1
1422 2966 0	1922 5707 2	Y	Home;Portal;55353	2188=7;2187=13	ALDARIN -> PoH	1
1422 2966 0	1922 5707 2	Y	Home;Portal;55353	2188=8;2187=13	ALDARIN -> PoH	1
1422 2966 0	1986 5707 0	Y	Home;Portal;55353	2188=10;2187=13	ALDARIN -> PoH	1
1422 2966 0	1986 5707 0	Y	Home;Portal;55353	2188=11;2187=13	ALDARIN -> PoH	1
1422 2966 0	1986 5707 0	Y	Home;Portal;55353	2188=13;2187=13	ALDARIN -> PoH	1
1422 2966 0	1986 5707 0	Y	Home;Portal;55353	2188=14;2187=13	ALDARIN -> PoH	1
